;;N°;;;Type;Date;Date;;;;;;;;;;
N° mandant;Nom court mandant;Mandataire;Nom court mandataire;PM/PP;mandat;attribution;résiliation;Motif attribution mandat;Nom contact chez le mandataire;Prénom contact;Téléfon contact;Fax contact;N° CCP;N° compte bancaire;IBAN;BIC SWIFT;Nom institution financière
-----------;------------------------------;-----------;------------------------------;-----;------;-----------;-----------;----------------------------------------;------------------------------;--------------------;----------------;----------------;---------------;--------------------;----------------------------------------;------------;--------------------------------------------------
49785;ENTREPRISE SPI;23468;SEMRA SANCAKLI MAHE;ETA;G;01.01.2015;;;;;;;;;;;
49851;SCANDINAVIAN ATMOSPHERE;127;OFICOMPTES FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
49852;JUST IMMO;978583;Andreea Nitu Lianetis;IND;G;01.01.2013;31.12.2014;;;;;;;;;;
49971;RRAHMANIJARDINIERS PAYSAGISTES;28168;FIDUCIAIRE PPC;ENT;G;01.01.2015;;;;;;;;;;;
50045;HCVDL;7062;ERNST & YOUNG LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
50071;EWA HOLDING;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
50134;KZA;53252;BHC BRILLIANT HORIZON;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
50152;MELKAN;20230;COFIREV BUREAU FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
50158;LOCALIMMOBILIER;14207;BERNEY ASSOCIES LAUSANNE;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
50207;LGLS ASSOCIES;844502;Geneviève Grenon;IND;G;01.01.2012;31.12.2014;;;;024 463'30'49;;;;;;
50220;CHEZ MANU;4987;FIDUCIAIRE CERES;ENT;G;01.01.2015;;;;;;;;;;;
50221;RSM IMMOBILIER;21396;RIGOLET MONTREUX;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
50321;HEGG PHILIP;53056;EFFI & CEANS ETUDE FISCALE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
50333;FREY MEDICAL TECHNOLOGIES;70097;JFFIDUCIAIRE LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
50409;DGA;38408;E GESTION;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
50449;BORIS LERCH AUDIO VISUEL;9440;MOORE STEPHENS REFIDAR NYON;ETA;G;01.07.2010;31.12.2014;;;;;;;;;;
50502;CHEMISWISS;48034;FIDULEM SA;ENT;G;01.01.2014;31.12.2014;;;;021 613'25'25;;;;;;
50507;ESTADOM;738638;Célia Dominique;IND;G;01.01.2015;;;;;;;;;;;
50553;EOLIMONDO CONSULTING;16252;MOORE STEPHENS REFIDAR;ETA;G;01.01.2015;;;;;;;;;;;
50570;AT AVIOLATTRAVAUX;46664;FIDUSWISS SOCIETE FIDUCIAIRE;ENT;G;01.01.2008;31.12.2014;;;;024 466'60'16;;;;;;
50570;AT AVIOLATTRAVAUX;8088;FIDUCIAIRE GUY BORLOZ;ENT;G;01.01.2015;;;;;;;;;;;
50575;RPT;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2015;31.12.2015;;;;;;;;;;
50575;RPT;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
50618;KHALIJ FIDUCIAIRE;54;MULTIFIDUCIAIRE LEMAN;ENT;G;01.08.2007;31.12.2014;;;VF;021 966'80'00;;;;;;
50754;JEANMONOD SA HORLOGERIE;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;01.01.2015;;;;;;;;;;;
50817;ALTRI SALES;2172;AA FIDU NYON;ENT;G;04.09.2007;31.12.2014;;;;022 365'51'60;;;;;;
50962;TOUCOULEURS;21368;ROGER BENOIT CABINET FIDUCIAIR;ETA;G;01.01.2014;31.12.2014;;;;021 311'97'81;021 311'97'82;;;;;
51017;HOTELGESTION;4360;ATSCO;ENT;G;01.01.2010;11.05.2016;;;;021 320'45'41;;;;;;
51077;AU MORGE;4692;LE COVE;ENT;G;01.01.2015;;;;;;;;;;;
51140;CREPES MARIA;2063;BETTEX FRERES & PARTENAIRES;ENT;G;01.01.2014;22.12.2015;;;;;;;;;;
51178;DL SUISSE;16045;ROLAND FALCONNIER;ETA;G;01.11.2007;31.12.2014;;;;079 299'62'23;;;;;;
51178;DL SUISSE;54213;ORAVA;ENT;G;01.01.2015;;;;;;;;;;;
51198;VFGM ACTIVITES HOTELIERES;24246;BUCOFI;ENT;G;01.10.2013;31.12.2016;;;;;;;;;;
51278;CDS MANAGEMENT SWITZERLAND;54;MULTIFIDUCIAIRE LEMAN;ENT;G;01.01.2015;;;;;;;;;;;
51280;RESTAURATION CHATEAU YVERDON;37256;FIDUCONSULT FIDYVER;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
51306;UOP CH;7062;ERNST & YOUNG LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
51360;PLATES BANDES COMMUNICATION;36187;PRATEO CONSEIL;ENT;G;01.01.2009;31.12.2014;;;;021 721'08'60;;;;;;
51360;PLATES BANDES COMMUNICATION;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
51461;HAMEAU VERT PRE;64039;ABME YPSILON;ENT;G;01.01.2011;;;;;;;;;;;
51526;GPS NETWORK;46193;AUDIT GLOBAL & MANAGEMENT;ENT;G;04.12.2007;31.12.2014;;;;;;;;;;-
51548;ALPIQ LAUSANNE LAUFENBURG NE1;62990;SWISSGRID;ENT;T;27.01.2014;14.11.2016;;;;;;;;CH73 0070 0110 0008 3000 5;;Zürcher Kantonalbank
51631;NV IMMO;19039;FRANCOIS ZBINDEN;ETA;G;01.01.2015;;;;;;;;;;;
51741;LAITERIE CENTRE;3186;FITAG CABINET FISCAL;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
51856;NEW GAB DEVELOPPEMENT GESTION;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
51910;SIMON & FILS;2093;OFICO FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
51958;MATO FERNANDO;19963;MA FIDUCIA;ENT;G;01.01.2012;31.12.2014;;;;021 886'32'80;;;;;;
51958;MATO FERNANDO;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
51972;SOLUGEST;51908;FIDUCIAIRE GERFIDEX;ENT;G;01.01.2015;;;;;;;;;;;
51976;ROCHE PARC;23677;FIDUCIAIRE JOSE GIAVAZZI;ETA;G;01.01.2014;31.12.2015;;;;;;;;;;
51993;SUICLEAN;48034;FIDULEM SA;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
52044;ARSENAUX IMMOBILIER;23677;FIDUCIAIRE JOSE GIAVAZZI;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
52087;MARNAUD HOLDING;48034;FIDULEM SA;ENT;G;01.01.2015;;;;;;;;;;;
52200;MARBED;71113;FIDUCIAIRE CONSEIL ORSINO;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
52203;MB CONSEILS;44677;FGN FIDUCIAIRE;ENT;G;01.01.2008;31.12.2014;;;;021 653'49'33;;;;;;
52203;MB CONSEILS;46193;AUDIT GLOBAL & MANAGEMENT;ENT;G;01.01.2015;;;;;;;;;;;
52223;CHEZ CHRISTIANE;28263;FIDUFISC CONSEILS;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
52223;CHEZ CHRISTIANE;20992;FIDUFISC CONSIELS;ETA;G;01.01.2015;;;;;;;;;;;
52287;HFIS;31306;ACFI FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
52421;LEMANEX;60;FIDUCIAIRE DREYFUS & ZURBUCHEN;ENT;G;01.01.2015;;;;;;;;;;;
52434;BCFA FLEURY;19117;GIUSEPPE MILO FISCALITE;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
52434;BCFA FLEURY;70928;JM FISCALITE & IMMOBILIER;ENT;G;01.01.2015;;;;;;;;;;;
52562;MEIGERHORN ESPACE;57633;EVCO CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
52577;INOVIA TECHNOLOGIES;46664;FIDUSWISS SOCIETE FIDUCIAIRE;ENT;G;08.05.2008;31.12.2014;;;;024 466'60'16;;;;;;
52577;INOVIA TECHNOLOGIES;17003;FIDUCIAIRE FIDAG MONTHEY;ETA;G;01.01.2015;;;;;;;;;;;
52599;DSA SERRURERIE & SOUDURE;2049;FIDUCIA REVISION;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
52599;DSA SERRURERIE & SOUDURE;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
52645;GRANVIK SHIPPING;36187;PRATEO CONSEIL;ENT;G;22.05.2008;31.12.2014;;;;;;;;;;
52645;GRANVIK SHIPPING;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
52659;GRAVATO MOGA;70097;JFFIDUCIAIRE LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
52672;CLYMS;47580;FIDUGA;ENT;G;01.01.2010;31.12.2014;;;;021 320'02'79;;;;;;
52741;STAR BRIDGE;50420;DOLTEC;ENT;G;01.01.2010;31.12.2015;;;;;;;;;;
52775;ARTISANS VIN;4692;LE COVE;ENT;G;01.04.2011;31.12.2014;;;;;;;;;;
52815;COCOCO GROUP;16673;BERNEY & ASSOCIES FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
52877;LE DEFI;32965;NOFIVAL VAUD;ENT;G;01.01.2011;31.12.2014;;;;024 466'44'55;;;;;;
52899;KEEP TRAFFIC;2172;AA FIDU NYON;ENT;G;01.01.2015;;;;;;;;;;;
52906;HOSTELLERIE PETIT MANOIR;46887;TERTIANUM ROMANDIE MANAGEMENT;ENT;G;27.06.2008;31.12.2014;;;;021 805'41'53;;;;;;
52906;HOSTELLERIE PETIT MANOIR;32089;BOAS GESTION;ENT;G;01.01.2015;;;;;;;;;;;
52907;MOMA CHINA;70283;XENIA CONSULTING;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
52922;PASSE MONTAGNE;38481;COMPTA FISC SYNERGIE;ENT;G;01.01.2008;31.12.2014;;;;021 340'03'90;021 323'99'20;;;;;
52922;PASSE MONTAGNE;16608;DELESSERT JESSICA;ETA;G;01.01.2015;;;;;;;;;;;
52976;BERSO;36187;PRATEO CONSEIL;ENT;G;04.07.2008;31.12.2015;;;;;;;;;;
52976;BERSO;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
53041;ANTISTATIQUE NET;36187;PRATEO CONSEIL;ENT;G;15.08.2013;31.12.2015;;;;;;;;;;
53041;ANTISTATIQUE NET;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
53048;PRECISION CUISINE;72689;DYN;ENT;G;01.01.2015;;;;;;;;;;;
53069;KIOSQUE GRAND PONT;58017;ILEX FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
53098;PPH CONSULTING;36187;PRATEO CONSEIL;ENT;G;01.07.2009;31.12.2015;;;;021 721'08'60;;;;;;
53098;PPH CONSULTING;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
53124;DYNAMIZ;12281;FIDEXAUDIT;ENT;G;01.01.2013;31.12.2014;;;;021 331'02'02;;;;;;
53124;DYNAMIZ;16252;MOORE STEPHENS REFIDAR;ETA;G;01.01.2015;;;;;;;;;;;
53149;SECURITE BETON;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
53286;TITANIUM ENGINEERING;53845;FIDELEX;ENT;G;01.01.2015;;;;;;;;;;;
53412;GESTCO SUPPORT;32240;GESTCO;ENT;G;01.01.2014;31.12.2014;;;;021 625'05'57;;;;;;
53473;PLANETE EXPRESS;17003;FIDUCIAIRE FIDAG MONTHEY;ETA;G;01.01.2012;31.12.2014;;;;024 471'19'67;;;;;;
53492;AL30 ARCHITECTES;2235;FIDEXPERT LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
53532;SIMPLY ZEST;2048;ALR FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
53576;SD COURONNE;22563;CHRISTINE CHARRIERE;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
53597;NEOMARINE INVEST;51947;DE MITRI CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
53636;GENERAL CLEANING;17481;BDO EPALINGES;ETA;G;01.01.2015;;;;;;;;;;;
53645;ISKIS;19963;MA FIDUCIA;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
53645;ISKIS;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
53661;NANOU INVEST;51947;DE MITRI CONSEILS;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
53662;SUN GLAZE;30221;SWMH FIDUCIAIRE CONSEILS;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
53662;SUN GLAZE;19328;CHRISTIAN ROCHAT;ETA;G;01.01.2015;;;;;;;;;;;
53712;ADENT CLINIQUES DENTAIRES GR;57;KPMG LAUSANNE;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
53712;ADENT CLINIQUES DENTAIRES GR;12;DELOITTE LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
53719;BEST PLANT PRACTICE;36187;PRATEO CONSEIL;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
53719;BEST PLANT PRACTICE;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
53820;MAROQUINERIE BIEDERMANN;45775;FIDUCIAIRE Y LANOIR & CIE;ENT;G;01.01.2015;;;;;;;;;;;
53870;NATURE & SENS;45;AMV CONSEILS & REVISION;ENT;G;01.01.2015;;;;;;;;;;;
53960;MY HOME NETWORKS;49198;LEMAN CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
54009;ARDANTIC;21807;GRF FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;021 804'16'50;;;;;;
54009;ARDANTIC;58928;FIDEO;ENT;G;01.01.2015;;;;;;;;;;;
54021;TERKI;1269;Ficogest;ETA;G;20.12.2008;31.12.2014;;;;021 903'25'81;021 903'25'48;;;;;
54071;SPORT UNIVERSITAIRE FISU;17481;BDO EPALINGES;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
54094;LATITUDE PRO;16314;BFB CONSEIL FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
54111;DROITACTIF;21228;TAXFORCE FIDUCIAIRE NOEL;ETA;G;01.01.2011;31.12.2014;;;;021 552'03'12;;;;;;
54217;COLUMBIA SPORTSWEAR SWITZERLAN;6795;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2011;31.12.2014;;;;058 792'91'00;;;;;;
54224;HERIDIAN;28168;FIDUCIAIRE PPC;ENT;G;01.01.2015;;;;;;;;;;;
54225;GRUTMAN;28168;FIDUCIAIRE PPC;ENT;G;01.01.2015;;;;;;;;;;;
54288;SIMON ARCHITECTES;9641;SOLUTIONS A DUPUIS;ETA;G;01.01.2015;;;;;;;;;;;
54292;FREYMONDVENT;6964;PB REVISION CONTROLE GESTION;ENT;G;01.01.2011;31.12.2014;;;;;;;;;;
54292;FREYMONDVENT;63698;FIDUCIAIRE STAEHLI;ENT;G;01.01.2015;;;;;;;;;;;
54324;A PLANIR;8;FIDUCIAIRE SOFIDOR;ENT;G;01.01.2015;;;;;;;;;;;
54357;JEDDO ENTREPRISES;5;FIDUCIAIRE MORGIENNE;ENT;G;01.01.2015;;;;;;;;;;;
54459;PETIT MAGASIN;39833;SGF STE GENERALE FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
54472;DIALARME VD;46901;OFFICE CONSULTANT FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
54509;HM INTERNATIONAL INVESTMENT;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2015;;;;;;;;;;;
54515;AFRIMPEX;24936;ETUDE DES AVOCATS;ETA;G;01.01.2015;;;;;;;;;;;
54543;MUST ADVICE;48034;FIDULEM SA;ENT;G;01.01.2015;;;;;;;;;;;
54553;JAN AUTOS (RIVIERA);1108;FIDUCIAIRE INTERMANDAT;ENT;G;01.01.2015;;;;;;;;;;;
54558;ML CONSEILS & GESTION;44370;FIDUCIA PARTNER;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
54558;ML CONSEILS & GESTION;24412;FIDUCIA PARTNER;ETA;G;01.01.2015;;;;;;;;;;;
54590;SWISSSURGICAL;7748;BFC YVES PITTET;ETA;G;01.01.2015;;;;;;;;;;;
54595;ECOSTARC SIGNY;18711;CRF FIDUCIAIRE CONSEILS;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
54595;ECOSTARC SIGNY;46266;GO SERVICES;ENT;G;01.01.2015;;;;;;;;;;;
54651;COEUR COTE CABINET VETERINAIRE;16779;CR GESTION & FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
54675;CAMAXE;1110;MCD CONSEIL;ENT;G;01.01.2012;31.12.2014;;;;021 706'53'10;;;;;;
54720;FONDATION MICHEL TORCHE;12;DELOITTE LAUSANNE;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
54802;TOUT HORIZON;6019;SERFISA SERVICES FIDUCIAIRES;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
54809;O HORIZON;12164;FIDARC ARMANDA COTTER BUREAU;ETA;G;01.01.2015;;;;;;;;;;;
54810;ALTIUS FINANCE;1821;OFISA;ENT;G;01.01.2014;31.12.2014;;Cottier;A.;021 341'81'11;;;;;;
54844;MAJE PRODUCTION;37158;BAKER & NORTON FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
54987;LOMAX GROUPE;36187;PRATEO CONSEIL;ENT;G;01.01.2009;31.12.2014;;;;021 721'08'60;;;;;;
54987;LOMAX GROUPE;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
55010;NXC SERVICES;72972;VALOREMTAX FINANCE;ENT;G;01.01.2015;01.01.2015;;;;;;;;;;
55013;ESPACE MOBILIER & IMMOBILIER;47521;FIDUCIAIRE CRELIER;ENT;G;01.01.2015;;;;;;;;;;;
55057;LIFE GESTION;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
55114;IMAGO TORI;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
55173;CDW FASHION;62918;FIDUCIAIRE CHRISTIAN LOCHE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
55220;DUOTECH ASPIRATION;20611;ANTICIPE;ETA;G;01.01.2012;31.12.2014;;;;;;;;;;
55226;TONIO SERVICE;25053;LEU FRERES;ENT;G;01.01.2012;31.12.2014;.;;;022 347'45'56;;;;;;
55240;SP SYSTEM FIDUCIAIRE SERVICES;36187;PRATEO CONSEIL;ENT;G;10.06.2009;31.12.2015;;;;021 721'08'60;;;;;;
55240;SP SYSTEM FIDUCIAIRE SERVICES;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
55258;RBLS;19963;MA FIDUCIA;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
55258;RBLS;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
55306;CHEMICAL CONCEPT GROUP;2048;ALR FIDUCIAIRE;ENT;G;01.04.2009;02.02.2015;;;;;;;;;;
55356;OUTLET BIKES & SPORTS;4713;FIDOFFICE;ENT;G;29.06.2009;31.12.2014;;;;021 811'26'16;;;;;;
55382;BAB CONSULTING GLOBAL SOLUTION;9641;SOLUTIONS A DUPUIS;ETA;G;01.01.2012;31.12.2014;;;;021 648'10'60;021 648'10'61;;;;;
55409;QGEL;59286;JC FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
55426;DESIGN IMMOBILIER;36187;PRATEO CONSEIL;ENT;G;20.07.2009;31.12.2014;;;;021 721'08'60;;;;;;
55426;DESIGN IMMOBILIER;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
55434;SPID CONSULTING;69618;GTS GENEVA TRUST SERVICES;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
55439;FMF IMMOBILIER;46901;OFFICE CONSULTANT FIDUCIAIRE;ENT;G;17.07.2009;31.12.2014;;;;021 711'18'61;;;;;;
55472;LABORATOIRES SCIENTIA NATURA;3;FIDUCIAIRE SOFIGER;ENT;G;01.01.2012;31.12.2012;;;;;;;;;;
55472;LABORATOIRES SCIENTIA NATURA;16746;DRP;ETA;G;01.01.2013;;;;;;;;;;;
55525;BURITAZ;58017;ILEX FIDUCIAIRE;ENT;G;01.01.2010;31.12.2014;;;;021 349'10'00;;;;;;
55529;TARDIN IMMEUBLES;23677;FIDUCIAIRE JOSE GIAVAZZI;ETA;G;01.01.2015;;;;;;;;;;;
55546;BFD;9440;MOORE STEPHENS REFIDAR NYON;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
55677;SUPERROADS TECHNOLOGIES;36187;PRATEO CONSEIL;ENT;G;10.09.2009;31.12.2014;;;;;;;;;;
55677;SUPERROADS TECHNOLOGIES;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
55724;ROYAL KOSE;3428;OLRIS;ENT;G;01.01.2013;;;;;;;;;;;
55759;CIMTRADE;36187;PRATEO CONSEIL;ENT;G;01.01.2012;31.12.2014;;;;021 721'08'60;;;;;;
55759;CIMTRADE;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
55774;ISPOT COMMUNICATIONS;28168;FIDUCIAIRE PPC;ENT;G;01.01.2015;;;;;;;;;;;
55816;KINGS PUB;11753;BFB FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
55893;MENUISERIE BOB;13272;ANDRE PHILIPONA;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
55993;KABOUM;13993;FIDEXPERT COTE;ENT;G;13.10.2009;31.12.2014;;;;022 755'17'55;;;;;;
55993;KABOUM;40367;FIDUCIAIRE JAG GILLIERON;ENT;G;01.01.2015;;;;;;;;;;;
55995;FAIR WEB ENTERTAINMENT;54213;ORAVA;ENT;G;01.01.2015;;;;;;;;;;;
56072;RANGALI IMMO MANAGEMENT;51947;DE MITRI CONSEILS;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
56081;DENA;36187;PRATEO CONSEIL;ENT;G;23.10.2009;31.12.2015;;;;021 721'08'60;;;;;;
56081;DENA;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
56085;TIMMS;12665;EGC GESTION & CONSEILS;ETA;G;24.10.2009;31.12.2014;;;;021 648'10'34;;;;;;
56135;AXIO NET;6506;FIDUCIAIRE STRAHM MICHEL;ENT;G;30.10.2009;31.12.2014;;Martin;C.;021 331'10'04;;;;;;
56135;AXIO NET;14841;MULLER CHRISTE ASSOCIES;ENT;G;01.01.2015;;;;;;;;;;;
56193;NAMIKI PRECISION OF EUROPE;58004;DRYS FIDUCIAIRE;ENT;G;10.11.2009;31.12.2014;;;;021 343'44'70;;;;;;
56227;GOTTEX BROKERS;1821;OFISA;ENT;G;13.11.2009;31.12.2014;;Schneider;P.;021 341'81'11;;;;;;
56238;TENNIS DOC;62460;PC & T;ENT;G;01.01.2014;;;;;;;;;;;
56287;BANQUE POPULAIRE MAROC;9646;FIDUCIAIRE PAUX CONSEILS;ETA;G;01.01.2009;31.12.2014;;;;;;;;;;
56294;GMB TENNIS SPORTS ACADEMY;52209;FM BUREAU COMPTABLE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
56365;AZUR SPA DETENTE;24290;SUGGESTION FIDUCIAIRE;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
56507;MCV SERVICES;23316;MV FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
56516;ATLANTIC SEAFOOD INDUSTRIES;36187;PRATEO CONSEIL;ENT;G;18.12.2009;31.12.2015;;;;021 721'08'60;;;;;;
56516;ATLANTIC SEAFOOD INDUSTRIES;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
56535;NOVEMBRE;31119;SFG CONSEIL;ENT;G;01.01.2015;;;;;;;;;;;
56590;ECOMPLEX;67248;FIDUCIAIRE GENERALE SFG;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
56614;SWISS BIOCHAR;19963;MA FIDUCIA;ENT;G;22.12.2009;31.12.2014;;;;;;;;;;
56614;SWISS BIOCHAR;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
56641;GARAGE CARROSSERIE DE ICCO;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;01.01.2011;31.12.2015;;;;021 323'67'83;;;;;;
56641;GARAGE CARROSSERIE DE ICCO;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
56693;HELVETIA INTERNATIONAL;6766;BDO GENEVE;ETA;G;01.01.2010;31.12.2014;;;;;;;;;;
56711;PROMODEX;43876;SB SWISSBUSINESS;ENT;G;01.01.2015;;;;;;;;;;;
56769;ECOLE PANORAMA (MEDICAL);2235;FIDEXPERT LAUSANNE;ENT;G;01.01.2015;28.02.2015;;;;;;;;;;
56788;JURA NEON;16195;BRUNNER & ASSOCIES FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;032 722'33'33;;;;;;
56805;SAINT BERNARD PARADISE;24973;ALPES FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
56925;REGIE PRIVEE;45775;FIDUCIAIRE Y LANOIR & CIE;ENT;G;01.01.2015;;;;;;;;;;;
56939;ANSOD;41763;ECG SOCIETE FIDUCIAIRE;ENT;G;01.01.2013;31.12.2014;;;;022 949'10'20;022 949'10'29;;;;;
57029;CALIDA;7294;KPMG ZUG;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
57053;STUDIODESIGN;26008;COMPTATRADE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
57053;STUDIODESIGN;23865;AMIGUET CONSEILS & GESTION;ETA;G;01.01.2015;;;;;;;;;;;
57059;POLE EMOTION;52946;FIDAC CONSEILS;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
57103;AGRO IDEE;9274;FIDASOL;ENT;G;01.01.2015;;;;;;;;;;;
57133;FAST ANALYSIS;2658;Ernest Riesen;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
57133;FAST ANALYSIS;28168;FIDUCIAIRE PPC;ENT;G;01.01.2015;;;;;;;;;;;
57146;VITESSE;56724;FIDUCIAIRE EVOLUTION;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
57247;AF CONSULT;24661;PALMISANO PAOLO;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
57247;AF CONSULT;2083;FIDUROLLE;ENT;G;01.01.2015;;;;;;;;;;;
57256;VALENTINO TERRASSEMENT PAYSAGI;18711;CRF FIDUCIAIRE CONSEILS;ENT;G;06.04.2010;31.12.2014;;;;;;;;;;
57272;PUBLIMMO;67248;FIDUCIAIRE GENERALE SFG;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
57285;TRANS ECOBROYAGE;19963;MA FIDUCIA;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
57285;TRANS ECOBROYAGE;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
57418;JUDO FEDERATION INTERNATIONALE;7062;ERNST & YOUNG LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
57426;NATIVES;44677;FGN FIDUCIAIRE;ENT;G;04.05.2010;31.12.2014;;;;021 653'49'33;;;;;;
57433;ESPRIT VIN DISTRIBUTION;74684;SOLUTION LI;ENT;G;01.01.2015;;;;;;;;;;;
57485;FIRSTPOINT;11069;SOCIETE CONTROLE FIDUCIAIRE FR;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
