ZAI;INP_ID;INP_NOM_ENT;INP_CHEZ_ENT;INP_RUE_ENT;INP_NPA_ENT;INP_LOC_ENT;INP_CANTON_SIEGE_ENT;INP_PAYS_SIEGE_ENT;INP_FORME_JURIDIQUE_ENT;INP_CODE_FORME_JURIDIQUE_ENT;INP_LANG_ENT;INP_SIEGE_ENT;INP_IDE;REF_IDE;REF_NOM_ENT;REF_CANTONAL_ID;MATCHING_DISTANCES;MATCHING_WEIGHT;;REMARQUE OIPM;RECHERCHE NO IDE  ;ANNONCER à L'IDE;PROBLEMES DIVERS;;
SNB;64063;Association Les Aquasirènes;c/o Mme Véronique Longchamp;Rue du Bicentenaire 4a;1304;Cossonay-Ville;VD;CH;association;109;Français;Cheseaux-s/L.;;104263970;Association des Maîtres;101597104;0.7037037037037037|1.0;0.901234568;;pas RC;rien trouvé;OUI;;;
SNB;31432;Association Internationale des Teams Moto Grand Prix sur Route;c/o Motomedia S.A.;Case postale 52;1037;Etagnières;VD;CH;association;109;Français;Etagnières;;113818737;Association Internationale des Jeux des Maîtres (IMGA);101601668;0.5967741935483871|1.0;0.865591398;;pas RC;rien trouvé;OUI;;;
SNB;34663;Association de St-Marc;;Avenue de Sévery 3;1004;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;300651771;Association du Salopard;101561811;0.7391304347826086|1.0;0.913043478;;pas RC;CHE-426.879.307;NON;;;
SNB;31683;Association Boulimie Anorexie (ABA);;Avenue Villamont 19;1005;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;438667290;Association Bussigny Culture (ABC);101597168;0.6|1.0;0.866666667;;pas RC;CHE-108.235.754;NON;;;
SNB;31708;"Société Cynologique ""Vallée de Joux""";c/o M. Christian Gerber;Case postale 295;1347;Le Sentier;VD;CH;association;109;Français;Le Sentier;;113497194;Société Cynologique Yverdon et Environs;101635480;0.5641025641025641|1.0;0.854700855;;pas RC;rien trouvé;OUI;;;
SNB+DVT;43857;Tennis club de Gland (TCG);"Centre Sportif ""En Bord""";;1196;Gland;VD;CH;association;109;Français;Gland;;113518809;Tennis-Club de Gland;101505019;0.6923076923076923|1.0;0.897435897;;pas RC;CHE-113.518.809;NON;;;
SNB;48467;Association ENTRAID;c/o M. Jacques-Daniel Rochat;Chemin du Daillard 36;1071;Chexbres;VD;CH;association;109;Français;Chexbres;;311794133;Association TAP;101610266;0.736842105263158|1.0;0.912280702;;pas RC;rien trouvé;OUI;;;
SNB;58610;Association DESTINY;;Case postale 20;1024;Ecublens VD;VD;CH;association;109;Français;Ecublens VD;;112741581;Association MERIF;101495173;0.736842105263158|1.0;0.912280702;;pas RC;rien trouvé;OUI;;;
SNB;60703;Association InfoRom (Pool informatique AVS Romand);;Chemin des Charmettes 9;1003;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;145275918;Association AIR (Alliance Informatique Romande);101449427;0.62|1.0;0.873333333;;pas RC;CHE-113.550.859;NON;;;
DVT;32030;"Fondation ""Visitation d'Aïn Kârem""";pa Figepla SA;Case postale 62;1000;Lausanne 6 Ouchy;VD;CH;fondation;110;Français;Lausanne;;105967973;"Fondation ""Institution de Lavigny""";101628726;0.5882352941176471|1.0;0.862745098;;pas RC;rien trouvé;OUI;;;
SNB;66890;Association Sachiel;c/o Prateo International SA;Avenue de Lavaux 65;1009;Pully;VD;CH;association;109;Français;Pully;;112706372;Association Pacte;101559863;0.7894736842105263|1.0;0.929824561;;pas RC;rien trouvé;OUI;;;
SNB;67544;Association LUNIDEA;;Rue Côtes-de-Montbenon 30;1003;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;157815388;Association ANGEs;101559031;0.736842105263158|1.0;0.912280702;;pas RC;CHE-428.596.010;NON;;;
SNB;69929;Association GRIMIAM;M. Jürgen Vogel;Chemin des Plantaz 39;1260;Nyon;VD;CH;association;109;Français;Nyon;;115449119;association ECOMIAM;101515375;0.7894736842105263|1.0;0.929824561;;pas RC;rien trouvé;OUI;;;
SNB;71260;"Association ""Assalam""";;Avenue de Lonay 19;1110;Morges;VD;CH;association;109;Français;Morges;;419142265;Association Smala;101602816;0.7142857142857143|1.0;0.904761905;;pas RC;rien trouvé;OUI;;;
SNB+DVT;39923;Association des Fédérations Internationales Olympiques d'Hiver (AIOWF);pa International Skating Union;Chemin de Primerose 2;1007;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;109611073;Association des fédérations, internationales olympiques d'été, ASOIF;101600768;0.8142857142857143|1.0;0.938095238;;pas RC;CHE-109.335.393;NON;;;
SNB;15535;Association Eurythmée Lausanne;c/o M. Paul Heilmann;Chemin de Beaufort 2;1162;St-Prex;VD;CH;association;109;Français;Lausanne;;113495077;Association Microciné Lausanne;101576015;0.7333333333333334|1.0;0.911111111;;pas RC;CHE-108.385.448;NON;OK dvt;;
SNB;15639;Club des Magiciens de Lausanne;c/o M. André Pichonnaz;Chemin des Planches 9;1028;Préverenges;VD;CH;association;109;Français;St-Sulpice VD;;474726959;Club de Bridge de Lausanne;101573759;0.7333333333333334|1.0;0.911111111;;pas RC;CHE-104.180.858;NON;Siège IDE à NE - SimpaPM à Saint-Sulpice (VD);;
SNB+DVT;32955;Association paroissiale catholique de Payerne- Corcelles;;Rue de Guillermaux 17;1530;Payerne;VD;CH;association;109;Français;Payerne;;111740923;Association Immobilière Catholique de Prilly;101668031;0.5892857142857143|1.0;0.863095238;;pas RC;rien trouvé;OUI;;;
SNB;32981;Association d'Arrosage de Gollion;c/o M. Maurice Mange;;1124;Gollion;VD;CH;association;109;Français;Gollion;;166354021;Association d'Alpage de Bière;101526408;0.6666666666666667|1.0;0.888888889;;pas RC;rien trouvé;OUI;;;
SNB+DVT;33697;Société Vaudoise des officiers;c/o M. Gérald Mermod;Chemin des Ormeaux 10;1066;Epalinges;VD;CH;association;109;Français;Lausanne;;107039481;Société Vaudoise de Médecine;101535984;0.7333333333333334|1.0;0.911111111;;pas RC;rien trouvé;OUI;;;
SNB;33083;Association pour la pédagogie Rudolf Steiner dans le Nord Vaudois;;Rue des Pêcheurs 8 b;1400;Yverdon-les-Bains;VD;CH;association;109;Français;Yverdon-les-B.;;107011531;Association pour le Développement du Nord Vaudois;101649915;0.6|1.0;0.866666667;;Fin 2002 + pas RC;Néant;NON;;;
SNB+DVT;28411;Société de tir aux armes de guerre;c/o M. Christian Badan;Rue de la Gare 5;1038;Bercher;VD;CH;association;109;Français;Bercher;;293028323;Société de Tir Aux Armes de Guerre;101501101;0.8823529411764706|1.0;0.960784314;;pas RC;rien trouvé;OUI;;;
SNB+DVT;30534;Société de tir aux armes de guerre;c/o M. Sébastien Grob;Ch. du Bourg 7;1432;Belmont-sur-Yverdon;VD;CH;association;109;Français;Ependes VD;;293028323;Société de Tir Aux Armes de Guerre;101501101;0.8823529411764706|1.0;0.960784314;;pas RC;rien trouvé;OUI;;;
SNB;54045;Association des Québécois(es) en Suisse;;Case postale 10;1018;Lausanne;VD;CH;association;109;Français;Lausanne;;112329223;Association des Marocain(e)s de Suisse;101547401;0.717948717948718|1.0;0.905982906;;pas RC;rien trouvé;OUI;;;
SNB+DVT;19994;Société de tir de l'Arnon;;Case postale 147;1422;Grandson;VD;CH;association;109;Français;Fiez;;113485512;Société de tir de Vallorbe;101595324;0.7307692307692308|1.0;0.91025641;;pas RC;rien trouvé;OUI;;;
SNB+DVT;43973;Société de Tir du Volson;c/o M. Ph. Koch;Chemin des Coquelicots 3;1009;Pully;VD;CH;association;109;Français;Pully;;113485512;Société de tir de Vallorbe;101595324;0.7307692307692308|1.0;0.91025641;;pas RC;rien trouvé;OUI;;;
SNB;67611;Association Suisse des Furets;;Route de Lussery 1;1305;Penthalaz;VD;CH;association;109;Français;Penthalaz;;100799740;Association Suisse du Froid;101636170;0.7931034482758621|1.0;0.931034483;;pas RC;rien trouvé;OUI;;;
SNB;33589;Centre pour l'action non-violente;;Rue de Genève 52;1004;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;108131422;Centre pour l'action non-violente (CENAC);101564665;0.8048780487804879|1.0;0.93495935;;pas RC;CHE-108.131.422;NON;;;
SNB+DVT;33682;Société de tir des carabiniers de Concise;c/o M.Christian Jaccard-Sandoz;Chemin des Jardins 4;1426;Concise;VD;CH;association;109;Français;Concise;;293028323;Société de Tir Aux Armes de Guerre;101501101;0.5609756097560976|1.0;0.853658537;;pas RC;rien trouvé;OUI;;;
SNB+DVT;33692;Association des catholiques Romains de Chexbres et environs;c/o M. Jean Sauthier;Résidences Fleur-de-Lys 3;1071;Chexbres;VD;CH;association;109;Français;Chexbres;;103260437;Association de la Piscine et du Camping de Penthalaz et environs;101577384;0.578125|1.0;0.859375;;pas RC;rien trouvé;OUI;;;
SNB+DVT;33693;Association paroissiale catholique St-Maurice;;Avenue des Collèges 29;1009;Pully;VD;CH;association;109;Français;Pully;;111740923;Association Immobilière Catholique de Prilly;101668031;0.6|1.0;0.866666667;;pas RC;rien trouvé;OUI;;;
SNB+DVT;33703;Association du centre oecuménique de Cugy;c/o Mme Carole Risse;Chemin du Parchet 5 A;1054;Morrens VD;VD;CH;association;109;Français;Cugy VD;;406794524;Association l'Etape Centre oecuménique d'acceuil;101430181;0.6875|1.0;0.895833333;;pas RC;rien trouvé;OUI;;;
SNB;70571;Association de la Compagnie des quatre lunes;c/o M. Léonard Berney;Rue de l' Avenir 3;1400;Yverdon-les-Bains;VD;CH;association;109;Français;Yverdon-les-B.;;397292339;Association de la Compagnie de La Marelle;101537410;0.7727272727272727|1.0;0.924242424;;pas RC;rien trouvé;OUI;OK dvt;;
SNB;26946;Association La Brigantine;p.a. MDJ'Ump;Case postale 102;1000;Lausanne 8 Bellevaux;VD;CH;association;109;Français;Lausanne;;105733487;Association La Branche;101443337;0.8|1.0;0.933333333;;pas RC;rien trouvé;OUI;;;
SNB;54061;Association Paka Tondo;c/o Mme Kelly Lévy;Route du Jorat 85D;1000;Lausanne 26 Vers-chez-les-Blanc;VD;CH;association;109;Français;Lausanne;;110099443;Association Pro Novio;101596488;0.7272727272727273|1.0;0.909090909;;pas RC;rien trouvé;OUI;;;
SNB;65599;Association Les Hivernales;c/o M. Gérald Reuter;Chemin des Plantaz 3;1260;Nyon;VD;CH;association;109;Français;Nyon;;104263970;Association des Maîtres;101597104;0.6923076923076923|1.0;0.897435897;;pas RC;CHE-159.240.754;NON;;;
SNB;25244;Société de Développement de Cossonay;;Case postale 96;1304;Cossonay-Ville;VD;CH;association;109;Français;Cossonay;;115821609;Société de Développement de Vevey;101422453;0.8055555555555556|1.0;0.935185185;;pas RC;rien trouvé;OUI;;;
SNB+DVT;34470;Société de Tir Le Boiron;c/o M. Marc Bory;Chemin des Charbouilles 1;1278;La Rippe;VD;CH;association;109;Français;La Rippe;;113499968;Société de tir Le Chêne;101445409;0.7083333333333333|1.0;0.902777778;;pas RC;rien trouvé;OUI;;;
DVT;61010;Fondation Salle des Amandiers;c/o M. Cédric André;Chemin des Erables 3;1026;Denges;VD;CH;fondation;110;Français;Lavigny;;292807477;Fondation Halle des Bosquets;101425333;0.7241379310344828|1.0;0.908045977;;pas RC;rien trouvé;OUI;;;
SNB+DVT;34475;Ski-Club de Ballaigues;c/o M. Blaise Maillefer;Chemin du Champ aux Oyes 4;1338;Ballaigues;VD;CH;association;109;Français;Ballaigues;;103338938;Ski-Club Villars;101666749;0.5909090909090908|1.0;0.863636364;;pas RC;rien trouvé;OUI;;;
SNB;71361;"Association ""La Petite école""";;Chemin de Serix 6;1607;Palézieux-Village;VD;CH;association;109;Français;Oron;;113901278;Association du Petit Globe;101640004;0.7241379310344828|1.0;0.908045977;;pas RC;rien trouvé;OUI;;;
DVT;22045;Fondation des Terreaux;Gérance de Rham;Avenue Mon-Repos 14;1005;Lausanne Secteur de dist.;VD;CH;fondation;110;Français;Lausanne;;384559817;Fondation des Jumeaux;101508355;0.8181818181818181|1.0;0.939393939;;RC;CHE-416.873.102;NON;;;
DVT;23456;Fondation Lobanoff;c/o M. R. Carluccio;Chemin de Riant-Coin 28;1093;La Conversion;VD;CH;fondation;110;Français;Vevey;;109702184;Fondation Dianova;101537005;0.7222222222222222|1.0;0.907407407;;pas RC;rien trouvé;OUI;;;
SNB;34967;Union des Sociétés de Développement de Lausanne;;Case Postale 295;1010;Lausanne;VD;CH;association;109;Français;Lausanne;;202961561;Union des sociétés locales de Denges;101482647;0.5531914893617021|1.0;0.85106383;;pas RC;rien trouvé;OUI;;;
SNB;46214;"Association ""Pro'G""";c/o Mme Provenzano Cornelia;Route des Plantaz 1;1442;Montagny-près-Yverdon;VD;CH;association;109;Français;Montagny-p-Yv.;;273272305;Association Pro R;101516349;0.7894736842105263|1.0;0.929824561;;pas RC;CHE-351.261.601;NON;;;
SNB;48446;Association Tarpuy;M. Sylvain Bettinelli;Route de Brent 2;1807;Blonay;VD;CH;association;109;Français;Blonay;;403806467;Association Tandem;101605990;0.7777777777777778|1.0;0.925925926;;pas RC;rien trouvé;OUI;;;
SNB;51102;Association Kivuvu;c/o Mme Danielle Curchod;Route de l' Etraz 54;1260;Nyon;VD;CH;association;109;Français;Nyon;;217791871;Association Plus;101546371;0.7222222222222222|1.0;0.907407407;;pas RC;rien trouvé;OUI;;;
SNB;57064;Association Amicla;;Rue Saint-Martin 28;1005;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;419142265;Association Smala;101602816;0.8333333333333334|1.0;0.944444444;;pas RC;rien trouvé;OUI;;;
SNB;35718;Service d'Aide Juridique aux Exilés (SAJE);;Rue Enning 4 / C.P. 3864;1002;Lausanne 2 Cases;VD;CH;association;109;Français;Lausanne;;109372543;Service d'Aide Juridique;101542088;0.5714285714285714|1.0;0.857142857;;Fin 2010 + pas RC;Néant;NON;;;
SNB;35804;Association romande des maîtres d'ouvrage d'utilité publique - ARMOUP;Rte des Plaines-du-Loup 32;Case postale 227;1000;Lausanne 22 Bergières;VD;CH;association;109;Français;Lausanne;;428802787;Association romande des maîtres d'ouvrage d'utilité publique;101551345;0.8695652173913043|1.0;0.956521739;;pas RC;CHE-428.802.787;NON;;;
SNB;65370;Association Yoko;P.A. Finstoy SA;Route de Crassier 11;1262;Eysins;VD;CH;association;109;Français;Gland;;191755506;Association Trako;101548829;0.8235294117647058|1.0;0.941176471;;pas RC;rien trouvé;OUI;;;
SNB+DVT;16324;Club Nautique de Montreux;;Rue du Lac 137;1815;Clarens;VD;CH;association;109;Français;Montreux;;113490140;Club nautique de Lutry;101569479;0.72|1.0;0.906666667;;pas RC;rien trouvé;OUI;;;
SNB;22430;Association Les Semailles;c/o M. Jean-Blaise Rossel;Chemin de la Salette 20;1023;Crissier;VD;CH;association;109;Français;Renens VD;;104263970;Association des Maîtres;101597104;0.72|1.0;0.906666667;;pas RC;rien trouvé;OUI;;;
SNB+DVT;38448;Société de tir du Rupalet;;Case postale 1;1185;Mont-sur-Rolle;VD;CH;association;109;Français;Mont-s/Rolle;;236276026;Société de Tir d'Apples;101433073;0.72|1.0;0.906666667;;pas RC;rien trouvé;OUI;;;
SNB;36167;Jardin d'enfants Montessori L'Idylle;;Route de Céligny 9;1299;Crans-près-Céligny;VD;CH;association;109;Français;Crans-près-Cé.;;103305778;Jardin d'enfants Arc-en-Ciel;101474214;0.5555555555555556|1.0;0.851851852;;pas RC;rien trouvé;OUI;;;
SNB;51637;Association Le Grain de Riz;c/o M. Jacques Michod;Route du Signal 44;1091;Grandvaux;VD;CH;association;109;Français;Savigny;;352943353;Association Le Jardin des Petits;101625228;0.71875|1.0;0.90625;;pas RC;rien trouvé;OUI;;;
SNB+DVT;38846;Association de soutien du Groupe Scout de Pully;c/o M. Benoît Sattiva;Chemin de Mallieu 16;1009;Pully;VD;CH;association;109;Français;Pully;;104130122;Association de Soutien du Mouvement Scout de Prilly;101657595;0.803921568627451|1.0;0.934640523;;pas RC;rien trouvé;OUI;;;
SNB;14978;Association La Constance;;Place du Marché 17;1170;Aubonne;VD;CH;association;109;Français;Aubonne;;469730607;Association La Cascade;101446629;0.7916666666666666|1.0;0.930555556;;pas RC;rien trouvé;OUI;;;
SNB+DVT;15230;Tennis-Club d'Echallens;;Chemin du Tennis 4;1040;Echallens;VD;CH;association;109;Français;Echallens;;113512089;Tennis-Club d'Epalinges;101521006;0.7391304347826086|1.0;0.913043478;;pas RC;rien trouvé;OUI;;;
SNB;22433;Association les Armaillis;p.a. Mme Catherine Jeanmonod;Route de Mauborget 10;1421;Fontaines-sur-Grandson;VD;CH;association;109;Français;Fontaines-s/G.;;255819571;Association des Airs;101549735;0.72|1.0;0.906666667;;pas RC;rien trouvé;OUI;;;
SNB;36812;Maison de l'Assemblée Chrétienne de Pampigny;c/o André Moinat;Chemin de la Rie 8;1302;Vufflens-la-Ville;VD;CH;association;109;Français;Pampigny;;113722994;Maison de l'Assemblée Chrétienne d'Essertines-sur-Yverdon;101432543;0.6140350877192983|1.0;0.871345029;;pas RC;rien trouvé;OUI;;;
SNB+DVT;44793;Centre Islamique de Lausanne;;Passage de Montriond 14;1006;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;136333965;Centre Catala de Lausanne;101612146;0.7142857142857143|1.0;0.904761905;;pas RC;CHE-105.910.619;NON;;;
SNB;45410;Association Essentiel;Mme Jocelyne Bachelard;Ruelle de la Poterne 11;1260;Nyon;VD;CH;association;109;Français;Nyon;;297404974;Association Potenciel;101610344;0.8095238095238095|1.0;0.936507937;;pas RC;rien trouvé;OUI;;;
SNB;45411;Association Esperanza;;Ch. du Midi 8 - CP 2578;1260;Nyon 2 Champ-Colin;VD;CH;association;109;Français;Nyon;;104170794;Association Enfants;101465723;0.7142857142857143|1.0;0.904761905;;pas RC;rien trouvé;OUI;;;
SNB;52753;Association Musée du Cheval;Château de La Sarraz;;1315;La Sarraz;VD;CH;association;109;Français;La Sarraz;;391956738;Association Musica da Camera;101660429;0.7142857142857143|1.0;0.904761905;;pas RC;rien trouvé;OUI;;;
SNB;53453;Association LA GALIPETTE;;Route de Lausanne 2b;1033;Cheseaux-sur-Lausanne;VD;CH;association;109;Français;Cheseaux-s/L.;;157815388;Association ANGEs;101559031;0.625|1.0;0.875;;pas RC;CHE-201.815.721;NON;;;
SNB;57531;Association suisse Hawa Abdi;c/o M. Jean-Jacques Dreifuss;Le Roussillon 8;1180;Rolle;VD;CH;association;109;Français;Rolle;;331667271;Association Suisse-Arabe;101555363;0.6785714285714286|1.0;0.892857143;;pas RC;rien trouvé;OUI;;;
SNB;60128;Association Fianarana;c/o Keller;Route de Sauvabelin 15;1052;Le Mont-sur-Lausanne;VD;CH;association;109;Français;Le Mont-sur-L.;;112629079;Association Fidan;101511527;0.7619047619047619|1.0;0.920634921;;pas RC;rien trouvé;OUI;;;
SNB;60130;Association Faso-Live;c/o M. Mikaël Chuard;Chemin de Penchèvre 17;1350;Orbe;VD;CH;association;109;Français;Orbe;;113841788;Association Satellite;101527903;0.7142857142857143|1.0;0.904761905;;pas RC;rien trouvé;OUI;;;
SNB;61241;Association Naît-sens;Mme Marie-Frédérique Séchaud;Rue des Glaciers 11;1004;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;113665971;Association Nauti-Club;101518870;0.7272727272727273|1.0;0.909090909;;pas RC;rien trouvé;OUI;;;
SNB;64067;Association CASCODEME;c/o M. Jacques Savari;Rue du Château 1;1814;La Tour-de-Peilz;VD;CH;association;109;Français;Vullierens;;183750406;Association PATOINOS;101601350;0.6666666666666667|1.0;0.888888889;;pas RC;rien trouvé;OUI;;;
DVT;37214;Fondation Nathalie et Henri Broquet;c/o M. Alain Grosjean;Avenue des Alpes 5;1820;Montreux;VD;CH;fondation;110;Français;Montreux;;110402398;Fondation Janine et René Roset;101461659;0.6285714285714286|1.0;0.876190476;;Dissoute 2013, pas RC;rien trouvé;NON;;;
SNB+DVT;68401;Association des commerçants du Centre commercial Renens Centre;;Place du Marché 1;1020;Renens VD;VD;CH;association;109;Français;Renens VD;;107722974;Association des commerçants du centre commercial Charpentiers;101484073;0.8064516129032258|1.0;0.935483871;;pas RC;rien trouvé;OUI;;;
SNB;37454;Association de soins coordonnés de la Riviera (ASCOR);;Av. de l' Ile-Heureuse 23;1800;Vevey;VD;CH;association;109;Français;Vevey;;295655790;Association des Musées de la Riviera;101450775;0.5849056603773585|1.0;0.86163522;;Fin 2011 + pas RC;Néant;NON;;;
SNB+DVT;37493;Syndicat Agricole Le Lieu-Séchey;c/o Mme Annick Hauser;Rue du Puits 6;1345;Le Lieu;VD;CH;association;109;Français;Le Lieu;;102113331;Syndicat agricole de l'Isle;101570107;0.625|1.0;0.875;;pas RC;rien trouvé;OUI;;;
SNB;29706;Association des Amis du musée Suisse de l'Orgue;p.a. Musée Suisse de l'Orgue;Rue du Saint Bernard 5;1852;Roche VD;VD;CH;association;109;Français;Pully;;412828189;Association des amis du Musée Suisse de l'Orgue Roche;101537218;0.8490566037735849|1.0;0.949685535;;pas RC;rien trouvé;OUI;;;
SNB;24926;Société de Gymnastique;SFG Les Bioux / Mme C.Piazzini;Vers Chez Grosjean 6;1346;Les Bioux;VD;CH;association;109;Français;Les Bioux;;101781872;Société de Systematiques;101615610;0.7083333333333333|1.0;0.902777778;;pas RC;rien trouvé;OUI;;;
SNB;37710;Association de Chantepierre;;Avenue de Beaumont 21;1011;Lausanne;VD;CH;association;109;Français;Lausanne;;397687502;Association Le Chailleran;101583828;0.7037037037037037|1.0;0.901234568;;pas RC;rien trouvé;OUI;;;
SNB;38845;Société Cynologique de Nyon et Environs;;Case postale 2575;1260;Nyon 2 Champ-Colin;VD;CH;association;109;Français;Nyon;;113497194;Société Cynologique Yverdon et Environs;101635480;0.8717948717948718|1.0;0.957264957;;pas RC;rien trouvé;OUI;;;
SNB;37712;Ensemble Orchestral de la Riviera (EOR);c/o M. Frank Sigrand;Coteau de Belmont 14;1815;Clarens;VD;CH;association;109;Français;Montreux;;388143321;Ensemble choral de la Côte;101597418;0.5641025641025641|1.0;0.854700855;;Fin 2003 + pas RC;Néant;NON;;;
SNB;15235;Abbaye de l'Union;c/o M. Jean-Yves Thévoz;Chemin du Pressoir 16 B;1306;Daillens;VD;CH;association;109;Français;Saint-Prex;;107021239;Abbaye de l'Arc;101611244;0.7058823529411764|1.0;0.901960784;;pas RC;rien trouvé;OUI;;;
SNB;37940;Association des demandeurs d'Emploi (AdE), Le Trèfle à 3 feuilles;;Rue du Maupas 81;1004;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;292527799;Association des demandeurs d'emploi (AdE);101534918;0.6153846153846154|1.0;0.871794872;;pas RC;CHE-292.527.799;NON;;;
SNB+DVT;38024;Association Paroissiale Catholique de Cully & environs;;Route de la Corniche 18;1096;Cully;VD;CH;association;109;Français;Bourg/Lavaux;;111740923;Association Immobilière Catholique de Prilly;101668031;0.5925925925925926|1.0;0.864197531;;pas RC;rien trouvé;OUI;;;
SNB+DVT;38027;Paroisse Catholique de la Vallée de Joux;;Route du Campe 2;1348;Le Brassus;VD;CH;association;109;Français;Le Brassus;;190867344;Paroisse Catholique de Clarens;101429377;0.625|1.0;0.875;;pas RC;rien trouvé;OUI;;;
SNB;54445;Enfants de Cusco;Mme Marguerite Bessard;Avenue de Riant-Mont 21;1004;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;197035221;Enfants de Guinée;101629830;0.7058823529411764|1.0;0.901960784;;pas RC;rien trouvé;OUI;;;
SNB;58393;Association b000m;c/o Mme Regina Bölsterli;Avenue de Jurigoz 4;1006;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;220186825;Association Boom;101545070;0.7647058823529411|1.0;0.921568627;;pas RC;CHE-220.186.825;NON;;;
SNB;42756;Fédération Internationale de Baseball;Maison du Sport International;Avenue de Rhodanie 54;1007;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;109809072;Fédération Internationale de Basketball (FIBA);101488729;0.8043478260869565|1.0;0.934782609;;pas RC;CHE-108.244.262;NON;;;
SNB+DVT;24795;Paroisse catholique romaine;;Route de l' Allex 15;1880;Bex;VD;CH;association;109;Français;Bex;;190867344;Paroisse catholique;101429377;0.7037037037037037|1.0;0.901234568;;pas RC;rien trouvé;OUI;;;
SNB;66885;Association Les Ateliers du Coeur;c/o Mme Sabrina Penel;Avenue du Château 10;1008;Prilly;VD;CH;association;109;Français;Prilly;;101921162;Association Atelier Zerodeux;101600658;0.6666666666666667|1.0;0.888888889;;pas RC;rien trouvé;OUI;;;
SNB;68341;Association des commerçants du Léman Centre Crissier;;Chemin de Saugy 1;1023;Crissier;VD;CH;association;109;Français;Crissier;;109574940;Association des commerçants de Littoral Centre Allaman;101453338;0.7222222222222222|1.0;0.907407407;;pas RC;CHE-109.300.495;NON;;;
SNB+DVT;25128;Société de Tir aux Armes de Guerre de Panex;c/o M. Roger Rosat;Chemin de Sonjon 23;1867;Panex;VD;CH;association;109;Français;Ollon;;293028323;Société de Tir Aux Armes de Guerre;101501101;0.7674418604651163|1.0;0.92248062;;pas RC;rien trouvé;OUI;;;
SNB+DVT;16440;Tennis Club de Grandson;;Case postale 157;1422;Grandson;VD;CH;association;109;Français;Grandson;;113492943;Tennis-Club de Grandson;101442591;0.9565217391304348|1.0;0.985507246;;pas RC;CHE-113.492.943;NON;;;
SNB;38858;Association Diaconale Carestia (ADC);p.a. Paroisse Catholique;Rue du  Rhône 4 / C.P. 364;1860;Aigle;VD;CH;association;109;Français;Aigle;;103585187;Association Biennale Posterart;101559111;0.5555555555555556|1.0;0.851851852;;Fin 2004 + pas RC;Néant;NON;;;
SNB;32980;Association PSALMODIA/Lausanne;;Chemin de la Bossonaz 12;1023;Crissier;VD;CH;association;109;Français;Crissier;;100975907;Association L'Artimon-Lausanne;101580146;0.7|1.0;0.9;;pas RC;rien trouvé;OUI;;;
SNB+DVT;38908;Paroisse catholique de Saint-Prex;pa M. Michel Sauty;Ch. du Collège F4;1168;Villars-sous-Yens;VD;CH;association;109;Français;Saint-Prex;;190867344;Paroisse Catholique de Clarens;101429377;0.696969696969697|1.0;0.898989899;;pas RC;rien trouvé;OUI;;;
SNB;46086;Association Sunapsis;c/o Mme Isabelle Ihmle;Rue de Lausanne 55;1028;Préverenges;VD;CH;association;109;Français;Préverenges;;102082802;Association Sunny;101433165;0.75|1.0;0.916666667;;pas RC;rien trouvé;OUI;;;
SNB;49807;Association AUPADAMA;M. Frédéric Hahn;Route des Flumeaux 25;1008;Prilly;VD;CH;association;109;Français;Prilly;;104809490;Association BUDDHADHAM;101636812;0.7272727272727273|1.0;0.909090909;;pas RC;rien trouvé;OUI;;;
SNB;53458;Association Apronia-Suisse;M. Jaques Longchamp;Chemin du Banc-Vert 17;1110;Morges;VD;CH;association;109;Français;Morges;;103836484;Association MM-Suisse;101597918;0.7307692307692308|1.0;0.91025641;;pas RC;CHE-380.732.577;NON;;;
SNB;39534;Basket-Ball Club Nyon (BBC Nyon);;Avenue Alfred Cortot 3;1260;Nyon;VD;CH;association;109;Français;Nyon;;402945994;Basket Ball Club de Nyon;101513042;0.65625|1.0;0.885416667;;pas RC;CHE-402.945.994;NON;OK dvt;;
SNB;53655;Association Art Cuba;;Chemin de Mézery 19;1008;Jouxtens-Mézery;VD;CH;association;109;Français;Crans-près-Cé.;;187623818;Association Cie Lubia;101550239;0.7619047619047619|1.0;0.920634921;;pas RC;rien trouvé;OUI;;;
SNB;39536;Abbaye des Laboureurs de Mathod;c/o M. Bernard Marendaz;Route d'Orbe;1438;Mathod;VD;CH;association;109;Français;Mathod;;357304835;Abbaye des Carabiniers de La Sarraz;101641218;0.5714285714285714|1.0;0.857142857;;pas RC;rien trouvé;OUI;;;
